label,ns,ne,nw,nh,nk,na,nf,se,sw,sh,sk,sa,sf,ew,eh,ek,ea,ef,wh,wk,wa,wf,hk,ha,hh,hf,ka,kh,kf,ah,af
correct,3.687388573,8.23862781,9.348340414,46.91417922,28.15922185,44.66052189,47.09206212,10.6898175,10.03951869,49.72655044,31.10332509,47.47889395,50.29812112,5.062516796,39.03987284,20.48332339,36.79350846,39.87407903,41.20590074,23.34471515,39.0010598,42.95284541,19.45988306,36.00569595,38.25921248,8.011128063,16.55482344,18.80664282,19.60851759,2.254049162,8.18574439
correct,9.951112024,3.129627782,8.449767106,42.87474436,36.67651552,41.41776103,35.97564941,6.923713893,16.91689097,32.92855941,26.74539523,31.47008004,26.20156937,10.42823161,39.84149792,33.66766258,38.38103089,33.08320943,49.16888403,43.17265524,47.70032305,42.98904907,5.028943095,9.906081051,11.29142811,8.472636284,4.877516495,6.276106968,3.754470309,1.468678868,7.403176032
correct,8.461214668,18.16220655,13.87441924,69.58682284,50.64545182,67.09474261,63.61153587,10.24352616,6.60734256,61.2434625,42.26117729,58.75931226,55.19116111,4.491412697,53.34874771,34.40548909,50.93254142,46.89031536,57.71347228,38.72870161,55.28248076,51.3093241,19.94817529,36.42973201,38.91327083,6.951106729,16.56722746,19.02324159,13.0550689,2.504673644,5.128533142
correct,11.45154354,7.035362525,11.64856361,40.62002342,33.05655955,38.57989441,33.50461559,7.316437365,16.00009352,29.18666253,21.60978858,27.15410382,22.0532174,8.911813349,35.07147952,27.70109389,33.0079406,28.24111696,41.03829786,34.18693119,39.0020393,34.82537352,6.92615847,12.45137235,14.30184408,7.280026137,5.637527729,7.612119805,0.762705553,2.064305552,5.383628006
correct,1.310286434,5.167005286,4.262580169,25.42459702,15.44850865,24.25628162,24.99846032,5.727842255,4.098420926,25.8742369,15.94771307,24.69781431,25.6406715,2.96046225,20.25761983,10.28339375,19.08965668,19.91365285,22.05112878,12.2669243,20.86876518,22.12861044,9.337319598,18.15543555,19.32018614,4.002522298,8.830028698,9.98801635,9.913214105,1.183564034,4.147352548
correct,16.95540896,7.244771257,10.79511588,44.15087121,40.01967764,42.48070728,35.30414452,10.82799933,21.50115565,27.23467967,23.21289464,25.55726676,18.82600703,11.26255109,37.89614545,33.98797389,36.21050959,29.65011844,47.48779628,43.96651687,45.81106704,40.10586676,5.073631277,8.002553724,9.524245779,9.902911733,3.217335692,4.535361352,5.368400227,1.687235552,8.522568306
correct,3.652280848,11.42195978,7.369697317,39.27013362,25.67341273,37.11155419,37.00828012,8.168237892,3.826345416,36.13172878,22.56008781,33.95375912,34.20564392,4.514978085,27.96363804,14.39573898,25.78661082,26.17258049,32.40410326,18.87204295,30.21884858,30.68690631,11.94767006,23.26486285,25.45116481,5.825022878,11.44161213,13.59687745,12.20204824,2.198331895,5.646060551
correct,2.19666128,9.24324377,7.896024359,45.00119672,25.90846278,41.23995305,42.94913186,9.092803316,6.473788961,45.3207568,26.22926607,41.5362089,43.60027764,5.431875839,36.29868755,17.25864619,32.5062183,34.90351257,40.7552383,21.99832253,36.96038045,39.84653962,15.40364159,30.73621296,34.5025044,6.468818674,15.33261906,19.10294543,17.89621019,3.797699054,6.660131384
correct,9.835487949,5.796719446,9.698044837,37.03873019,29.6022724,35.02619349,30.48273513,5.738693918,13.46504098,28.17594731,20.83896928,26.16980339,22.48434048,8.036866846,33.91027341,26.57747378,31.90553256,28.15060701,41.22758986,34.05331797,39.25192821,35.92402867,4.377447643,9.78385197,11.79870136,7.802679797,5.425100131,7.436492889,3.906785549,2.01503041,6.200538466
correct,11.66456717,7.22293974,12.08903449,40.9808027,33.25151451,38.75797292,33.654927,7.605810952,16.7761777,29.3790618,21.62010317,27.17252721,22.00831293,9.35219199,35.20911964,27.69018847,32.95901105,28.17006881,41.41587536,34.479549,39.19658737,35.04291431,7.057244371,12.55799316,14.52647182,7.484309506,5.650901128,7.789348974,0.652347759,2.251369892,5.41929199
